#Table 1 ,,,,,,,,,,,,,,,,,,,
#Characteristics of the USP Planet Sample,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
ID number,T_eff,Teff_upper_unc,Teff_lower_unc,logg,logg_upper_unc,logg_lower_unc,metal,metal_upper_unc,metal_lower_unc,R_sstar,R_sstar_upper_unc,R_sstar_lower_unc,M_sstar,M_sstar_upper_unc,M_sstar_lower_unc,R_p,R_p_upper_unc,R_p_lower_unc,P_orb
KOI 0072,5599,65,66,4.34,0.1,0.08,-0.11,0.04,0.04,1.06,0.09,0.16,0.91,0.03,0.04,1.46,0.17,0.17,20.2
KOI 0191,5459,64,63,4.45,0.08,0.07,0.1,0.04,0.04,0.94,0.06,0.09,0.92,0.03,0.03,1.35,0.12,0.12,17
KOI 0577,5085,66,64,4.53,0.04,0.04,0.11,0.04,0.04,0.82,0.04,0.04,0.83,0.03,0.03,0.91,0.09,0.09,15.4
KOI 0717,5619,68,61,4.25,0.1,0.09,0.31,0.04,0.04,1.28,0.14,0.17,1.05,0.04,0.06,0.81,0.11,0.11,21.6
KOI 1128,5352,63,65,4.5,0.06,0.06,-0.04,0.04,0.04,0.87,0.05,0.06,0.86,0.03,0.03,1.24,0.1,0.1,23.3
KOI 1150,5755,66,68,4.32,0.09,0.09,0.1,0.04,0.04,1.15,0.11,0.14,1.01,0.04,0.04,1.02,0.12,0.12,16.3
KOI 1169,5634,64,66,4.36,0.09,0.09,0.11,0.04,0.04,1.08,0.1,0.13,0.97,0.03,0.03,1.52,0.16,0.16,16.6
KOI 1239,5747,66,66,4.38,0.08,0.07,-0.04,0.04,0.04,1.05,0.08,0.11,0.97,0.03,0.04,1.77,0.17,0.17,18.7
KOI 1300,4764,65,63,4.58,0.03,0.03,0.03,0.04,0.04,0.74,0.02,0.02,0.76,0.02,0.03,1.54,0.13,0.13,15.1
KOI 1360,4960,64,64,4.59,0.04,0.03,-0.1,0.04,0.04,0.74,0.02,0.03,0.78,0.03,0.03,0.87,0.09,0.09,18.2
KOI 1367,4962,64,64,4.59,0.04,0.03,-0.08,0.04,0.04,0.75,0.02,0.03,0.78,0.03,0.03,1.44,0.12,0.12,13.7
KOI 1428,4776,65,64,4.6,0.03,0.03,-0.11,0.04,0.04,0.71,0.02,0.03,0.73,0.03,0.03,1.9,0.21,0.21,22.3
KOI 1442,5568,70,58,4.26,0.1,0.09,0.39,0.04,0.04,1.26,0.14,0.16,1.05,0.04,0.06,1.43,0.18,0.18,16.1
KOI 1655,5536,65,64,4.45,0.07,0.07,-0.07,0.04,0.04,0.94,0.06,0.08,0.9,0.03,0.03,1.4,0.12,0.12,22.6
KOI 1688,5979,64,71,4.1,0.1,0.1,0.17,0.04,0.04,1.62,0.21,0.29,1.22,0.08,0.12,1.69,0.27,0.27,22.1
KOI 1875,5576,64,65,4.4,0.08,0.07,-0.11,0.04,0.04,0.98,0.08,0.1,0.9,0.03,0.03,1.38,0.13,0.13,13
KOI 2039,5575,64,64,4.49,0.06,0.03,0.25,0.04,0.04,0.95,0.04,0.06,1.01,0.04,0.03,0.81,0.08,0.08,18.2
KOI 2079,5477,66,68,4.38,0.09,0.08,0.38,0.04,0.04,1.07,0.09,0.12,1,0.03,0.04,0.75,0.08,0.08,16.6
KOI 2093,5953,65,66,4.35,0.08,0.07,0.02,0.04,0.04,1.14,0.1,0.13,1.07,0.04,0.04,1.34,0.15,0.15,23.8
KOI 2119,5136,65,65,4.54,0.05,0.04,0.18,0.04,0.04,0.83,0.03,0.04,0.87,0.03,0.03,1.32,0.11,0.11,13.7
KOI 2202,5307,65,64,4.47,0.07,0.06,0.32,0.04,0.04,0.93,0.05,0.08,0.94,0.03,0.03,1.22,0.11,0.11,19.4
KOI 2248,5149,64,65,4.54,0.05,0.04,0.11,0.04,0.04,0.83,0.03,0.04,0.85,0.03,0.03,1.15,0.1,0.1,18.2
KOI 2250,4958,66,65,4.57,0.04,0.03,0.12,0.04,0.04,0.78,0.03,0.03,0.82,0.03,0.03,1.62,0.14,0.14,15.1
KOI 2281,5080,65,65,4.53,0.04,0.04,0.16,0.04,0.04,0.82,0.04,0.04,0.84,0.03,0.03,0.9,0.16,0.16,18.5
KOI 2393,4836,65,65,4.59,0.04,0.03,-0.06,0.04,0.04,0.73,0.02,0.03,0.76,0.03,0.03,1.15,0.1,0.1,18.5
KOI 2396,5228,65,66,4.54,0.06,0.04,0.1,0.04,0.04,0.83,0.03,0.05,0.87,0.03,0.03,1.68,0.17,0.17,12
KOI 2409,4774,66,65,4.66,0.02,0.03,-0.59,0.04,0.04,0.62,0.02,0.02,0.63,0.02,0.02,1.26,0.1,0.1,13.9
KOI 2492,5635,60,62,4.37,0.09,0.08,-0.31,0.04,0.04,0.98,0.09,0.11,0.83,0.03,0.03,0.89,0.1,0.1,23.5
KOI 2517,5601,64,64,4.52,0.06,0.03,-0.07,0.04,0.04,0.88,0.04,0.05,0.94,0.03,0.03,1.01,0.09,0.09,23.3
KOI 2571,5269,66,65,4.48,0.07,0.06,0.25,0.04,0.04,0.9,0.05,0.07,0.91,0.03,0.04,1.06,0.09,0.09,19.9
KOI 2607,5774,65,63,4.4,0.09,0.07,0.2,0.04,0.04,1.07,0.08,0.12,1.05,0.04,0.04,1.78,0.19,0.19,18
KOI 2668,5460,66,66,4.51,0.06,0.05,-0.04,0.04,0.04,0.87,0.04,0.06,0.9,0.03,0.03,1.4,0.12,0.12,16.3
KOI 2694,4787,66,65,4.56,0.03,0.03,0.23,0.04,0.04,0.77,0.03,0.03,0.79,0.03,0.03,1.42,0.12,0.12,20.2
KOI 2753,5840,63,55,4.17,0.1,0.1,0.21,0.04,0.04,1.45,0.19,0.23,1.13,0.06,0.1,1.22,0.18,0.18,22.6
KOI 2756,5904,61,66,4.38,0.09,0.07,0.1,0.04,0.04,1.1,0.09,0.13,1.07,0.04,0.04,1.16,0.12,0.12,16.1
KOI 2763,4727,65,65,4.6,0.03,0.03,-0.01,0.04,0.04,0.72,0.02,0.02,0.75,0.03,0.03,1.14,0.11,0.11,12
KOI 2796,5686,65,68,4.35,0.1,0.08,0,0.04,0.04,1.08,0.1,0.14,0.96,0.03,0.03,1.09,0.13,0.13,13
KOI 2874,5243,65,64,4.51,0.05,0.06,-0.08,0.04,0.04,0.84,0.05,0.05,0.82,0.03,0.03,1.11,0.1,0.1,8.4
KOI 2875,4967,64,63,4.58,0.04,0.03,-0.09,0.04,0.04,0.75,0.03,0.03,0.77,0.03,0.03,1.44,0.12,0.12,7.2
KOI 2879,5472,66,65,4.51,0.06,0.04,-0.01,0.04,0.04,0.88,0.04,0.06,0.91,0.03,0.03,0.63,0.05,0.05,8.2
KOI 2916,4978,65,65,4.56,0.04,0.04,0,0.04,0.04,0.77,0.03,0.03,0.8,0.03,0.03,1,0.1,0.1,7.4
KOI 3009,5110,64,65,4.55,0.05,0.04,0.17,0.04,0.04,0.82,0.03,0.04,0.86,0.03,0.03,1.04,0.1,0.1,18.2
KOI 3032,5213,65,64,4.43,0.06,0.06,0.36,0.04,0.04,0.95,0.06,0.08,0.9,0.03,0.03,1.43,0.14,0.14,15.4
KOI 3065,5713,64,63,4.48,0.07,0.04,0,0.04,0.04,0.94,0.05,0.07,0.98,0.03,0.03,1.17,0.12,0.12,21.6
KOI 3246,4847,66,66,4.58,0.04,0.03,0.13,0.04,0.04,0.76,0.02,0.03,0.8,0.03,0.03,0.81,0.07,0.07,16.6
KOI 3867,5566,63,67,4.42,0.09,0.07,0.14,0.04,0.04,0.99,0.07,0.1,0.96,0.03,0.03,1.67,0.15,0.15,22.6
KOI 3913,5952,63,65,4.26,0.1,0.09,0.18,0.04,0.04,1.31,0.15,0.19,1.14,0.05,0.06,3.27,0.43,0.43,13.9
KOI 4002,5207,64,64,4.53,0.06,0.04,0.2,0.04,0.04,0.85,0.04,0.05,0.89,0.03,0.03,1.29,0.12,0.12,12.5
KOI 4018,5479,65,64,4.52,0.06,0.04,-0.01,0.04,0.04,0.87,0.04,0.05,0.92,0.03,0.03,1.28,0.11,0.11,20.9
KOI 4070,4926,65,66,4.57,0.04,0.03,0.07,0.04,0.04,0.77,0.03,0.03,0.8,0.03,0.03,1.09,0.1,0.1,19
KOI 4072,5840,65,61,4.26,0.1,0.1,0.11,0.04,0.04,1.27,0.14,0.17,1.06,0.04,0.05,1.02,0.13,0.13,16.6
KOI 4109,4995,66,66,4.53,0.04,0.04,0.25,0.04,0.04,0.83,0.04,0.04,0.84,0.03,0.03,0.72,0.07,0.07,15.8
KOI 4144,6000,64,65,4.39,0.08,0.07,-0.11,0.04,0.04,1.08,0.08,0.11,1.03,0.04,0.04,1.19,0.12,0.12,23.5
KOI 4159,5233,66,66,4.49,0.05,0.06,0.12,0.04,0.04,0.88,0.05,0.05,0.86,0.03,0.03,0.75,0.07,0.07,23.3
KOI 4199,5109,65,65,4.57,0.05,0.03,-0.12,0.04,0.04,0.77,0.03,0.04,0.8,0.03,0.03,0.77,0.07,0.07,13
KOI 4366,5269,63,66,4.53,0.06,0.05,-0.11,0.04,0.04,0.82,0.04,0.05,0.83,0.03,0.03,1.23,0.12,0.12,18.2
KOI 4430,5104,66,65,4.55,0.05,0.04,0.1,0.04,0.04,0.81,0.03,0.04,0.84,0.03,0.03,1.38,0.2,0.2,12.2
KOI 4441,4888,65,65,4.57,0.03,0.03,0.06,0.04,0.04,0.76,0.03,0.03,0.79,0.03,0.03,1.41,0.18,0.18,16.3
KOI 4469,4909,64,65,4.57,0.04,0.03,0.07,0.04,0.04,0.77,0.03,0.03,0.8,0.03,0.03,0.71,0.07,0.07,21.4
KOI 4746,4948,66,66,4.57,0.04,0.03,0.08,0.04,0.04,0.78,0.03,0.03,0.81,0.03,0.03,0.83,0.08,0.08,23.5
KOI 4841,4803,65,65,4.59,0.03,0.03,-0.01,0.04,0.04,0.73,0.02,0.03,0.76,0.03,0.03,1.35,0.13,0.13,17
KIC 8435766,5060,64,65,4.57,0.04,0.03,0,0.04,0.04,0.78,0.03,0.03,0.82,0.03,0.03,1.25,0.14,0.14,8.5
KIC 11187332,5573,65,66,4.43,0.07,0.07,-0.09,0.04,0.04,0.96,0.07,0.09,0.9,0.03,0.03,1.17,0.17,0.17,7.3
KIC 2718885,5614,64,64,4.37,0.09,0.08,0.12,0.04,0.04,1.06,0.09,0.12,0.96,0.03,0.03,1.12,0.19,0.19,4.7
