#Table 2 ,,,,,,,,,,,,,,,,,,,
#Characteristics of the Hot Jupiter Sample,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
ID,T_eff,Teff_upper_unc,Teff_lower_unc,logg,logg_upper_unc,logg_lower_unc,metal,metal_upper_unc,metal_lower_unc,R_sstar,R_sstar_upper_unc,R_sstar_lower_unc,M_sstar,M_sstar_upper_unc,M_sstar_lower_unc,R_p,R_p_upper_unc,R_p_lower_unc,P_orb
KOI 0001,5815,65,66,4.39,0.09,0.08,0.01,0.04,0.04,1.06,0.09,0.12,1.01,0.03,0.03,14.32,1.42,1.42,59.3
KOI 0003,4867,65,66,4.54,0.03,0.04,0.31,0.04,0.04,0.81,0.03,0.03,0.83,0.03,0.03,5.11,0.41,0.41,117.4
KOI 0007,5833,67,60,4.12,0.1,0.11,0.17,0.04,0.04,1.53,0.2,0.24,1.12,0.06,0.1,4.13,0.6,0.6,77
KOI 0017,5667,63,58,4.17,0.1,0.1,0.34,0.04,0.04,1.45,0.18,0.22,1.11,0.06,0.1,15.04,2.1,2.1,77.5
KOI 0022,5885,58,61,4.21,0.1,0.1,0.2,0.04,0.04,1.38,0.18,0.21,1.13,0.06,0.09,14.2,2.02,2.02,189.4
KOI 0063,5660,63,64,4.49,0.05,0.03,0.23,0.04,0.04,0.96,0.04,0.05,1.03,0.03,0.03,6.09,0.49,0.49,226.3
KOI 0127,5600,67,58,4.35,0.09,0.08,0.35,0.04,0.04,1.13,0.1,0.14,1.04,0.04,0.04,12.1,1.29,1.29,85.9
KOI 0128,5669,67,66,4.21,0.1,0.09,0.25,0.04,0.04,1.33,0.15,0.21,1.05,0.05,0.07,14.65,1.99,1.99,118.6
KOI 0135,5951,66,68,4.21,0.12,0.1,0.32,0.04,0.04,1.45,0.19,0.26,1.23,0.06,0.09,13.03,2.05,2.05,72.5
KOI 0141,5322,63,65,4.43,0.07,0.07,0.3,0.04,0.04,0.97,0.07,0.09,0.93,0.03,0.03,5.68,0.53,0.53,62.9
KOI 0186,5802,63,62,4.35,0.09,0.08,0.18,0.04,0.04,1.13,0.1,0.14,1.05,0.04,0.04,14.97,1.6,1.6,77.8
KOI 0195,5535,66,64,4.48,0.07,0.06,-0.16,0.04,0.04,0.89,0.06,0.08,0.87,0.03,0.03,11.56,0.93,0.93,77.3
KOI 0201,5526,67,69,4.24,0.1,0.1,0.35,0.04,0.04,1.26,0.14,0.17,1.02,0.04,0.05,10.93,1.35,1.35,101.5
KOI 0203,5714,64,64,4.44,0.07,0.04,0.31,0.04,0.04,1.03,0.05,0.08,1.08,0.04,0.03,15.05,1.2,1.2,35.8
KOI 0214,5481,66,72,4.31,0.09,0.09,0.39,0.04,0.04,1.16,0.12,0.14,1,0.04,0.04,11.19,1.27,1.27,79.4
KOI 0439,5458,65,65,4.37,0.09,0.08,0.32,0.04,0.04,1.07,0.09,0.12,0.98,0.03,0.03,5.05,0.51,0.51,45.6
KOI 0466,5954,63,66,4.21,0.1,0.1,0.04,0.04,0.04,1.36,0.16,0.19,1.09,0.04,0.05,10.66,1.79,1.79,225.4
KOI 0760,5741,65,66,4.36,0.09,0.08,0.09,0.04,0.04,1.09,0.1,0.13,1,0.03,0.04,12.66,1.31,1.31,119
KOI 0800,5904,61,63,4.25,0.1,0.1,0.2,0.04,0.04,1.31,0.15,0.2,1.13,0.05,0.07,4.45,0.63,0.63,65
KOI 0889,5311,66,63,4.48,0.07,0.06,0.22,0.04,0.04,0.91,0.05,0.07,0.9,0.03,0.04,11.86,0.95,0.95,213.1
KOI 1779,5861,65,63,4.42,0.06,0.04,0.3,0.04,0.04,1.08,0.06,0.08,1.13,0.04,0.04,4.35,0.35,0.35,111.8
KOI 1800,5611,65,65,4.51,0.05,0.03,0.07,0.04,0.04,0.91,0.03,0.05,0.98,0.03,0.03,6.29,0.55,0.55,187
KOI 3689,5988,67,68,4.19,0.11,0.1,0.03,0.04,0.04,1.41,0.17,0.22,1.11,0.04,0.06,14.08,1.98,1.98,125.8
